"","Name","Order","Family","Common_name","Origin","Status","Fruits","Seeds","Nectar","Insects","Reptiles","Body_size","Beak_length_culmen","Beak_length_nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Secondary1","Hand_wing_index","Tail_length","Mass","Body_mass"
"1","Acridotheres tristis","Passeriformes","Sturnidae","Common myna (Merle des Moluques)","Introduced","LC",1,NA,NA,1,NA,250,26.8,16,6.4,8,38.6,139.8,32.8,106.3,23.6,84.8,116.4,""
"2","Aplonis striata striata","Passeriformes","Sturnidae","Striated starling (Stourne calédonien)","Endemic species","LC",1,NA,NA,1,NA,180,19.5,10.9,5.3,6.7,23.2,100,24.4,74,24.8,70.4,54.2,""
"3","Caloenas canacorum","Columbiformes","Columbidae","Kanaka pigeon","Native","EX",NA,NA,NA,NA,NA,NA,38.4,20.5,6.8,9.6,54.6,323.8,106.9,218.5,41,123.5,672.3,"Inferred from Caloenas nicobarica (~25% largeur)"
"4","Chalcophaps longirostris sandwichensis","Columbiformes","Columbidae","Pacific emerald dove (Tourterelle verte)","Native","LC",1,1,NA,NA,NA,260,21,11.1,3,4.1,25.9,144.5,42.7,101.1,29.7,85.1,136.5,""
"5","Charmosyna diadema","Psittaciformes","Psittacidae","New Caledonian lorikeet (Lori à diadème)","Endemic species","CR",1,1,NA,NA,NA,190,11.3,9,6.1,9.8,10.8,93,38,55,40.9,84.5,37,""
"6","Columba vitiensis hypoenochroa","Columbiformes","Columbidae","Metalic pigeon (Collier blanc)","Endemic subspecies","LC",1,NA,NA,NA,NA,370,27.4,14,5.7,6.4,28.8,216.4,70.3,147,32.3,138,353,""
"7","Coracina analis","Passeriformes","Campephagidae","New Caledonian cuckooshrike (Echenilleur de montagne)","Endemic species","NT",1,1,NA,1,NA,280,29.1,15.3,8.6,11.3,30.8,140.8,35,105.8,24.8,119.9,82.4,""
"8","Coracina caledonica","Passeriformes","Campephagidae","South Melanesian Cuckooshrike (Echenilleur calédonien)","Endemic subspecies","LC",1,NA,NA,1,1,350,38.5,22.4,14,14.2,31.7,185.3,48.6,136.7,26.2,146.7,140,""
"9","Corvus moneduloides","Passeriformes","Corvidae","New Caledonian crow (Corbeau calédonien)","Endemic species","LC",1,NA,NA,1,1,410,43.5,28.4,11.9,17.1,47.1,238.1,54.7,183.4,23,164.6,277.4,""
"10","Cyanoramphus saisseti","Psittaciformes","Psittacidae","New Caledonian Parakeet (Péruche à front rouge)","Endemic species","LC",1,1,NA,NA,NA,260,16.5,13.7,10.2,17.1,17,121.8,45.5,72.8,38.4,163.7,90.2,""
