"","Bird_name","Plant_name"
"1","Ducula goliath","Alphitonia neocaledonica"
"2","Ducula goliath","Alyxia leucogyne"
"3","Aplonis striata striata","Premna serratifolia"
"4","Aplonis striata striata","Plerandra elegantissima"
"5","Ducula goliath","Balanops vieillardii"
"6","Coracina analis","Balanops vieillardii"
"8","Ducula goliath","Basselinia gracilis"
"9","Ducula goliath","Broussonetia papyrifera"
"10","Ducula goliath","Burretiokentia vieillardii"
"11","Ducula goliath","Calophyllum caledonicum"
"12","Ducula goliath","Canarium oleiferum"
"14","Aplonis striata striata","Capsicum frutescens"
"15","Coracina caledonica","Premna serratifolia"
"16","Aplonis striata striata","Carica papaya"
"17","Ducula goliath","Syzygium balansae"
"18","Ducula goliath","Syzygium multipetalum"
"19","Ducula goliath","Chambeyronia macrocarpa"
"21","Ducula goliath","Chionanthus brachystachys"
"22","Ducula goliath","Citronella macrocarpa"
"23","Ducula goliath","Cleistanthus stipitatus"
"24","Ducula goliath","Coffea canephora"
"25","Ducula goliath","Neuburgia novocaledonica"
"26","Ducula goliath","Cryptocarya macrocarpa"
"28","Ducula goliath","Cryptocarya transversa"
"30","Ducula goliath","Plerandra elegantissima"
"31","Ptilinopus greyi","Neoarytera chartacea"
"32","Ducula goliath","Didymocheton macranthum"
"33","Ptilinopus greyi","Diospyros fasciculosa"
"34","Drepanoptila holosericea","Diospyros fasciculosa"
"37","Ducula goliath","Diospyros macrocarpa"
"40","Ducula goliath","Duranta repens"
"41","Ducula goliath","Elaeocarpus angustifolius"
"42","Ducula goliath","Elaeocarpus brachypodus"
"43","Ducula goliath","Elaeocarpus colnettianus"
"44","Ducula goliath","Elaeocarpus gummatus"
"45","Ducula goliath","Elaeocarpus hortensis"
"46","Ducula goliath","Elaeocarpus leratii"
"47","Ducula goliath","Elaeocarpus speciosus"
"48","Aplonis striata striata","Elattostachys apetala"
"49","Ducula goliath","Endiandra baillonii"
"50","Ptilinopus greyi","Ficus obliqua"
"51","Ptilinopus greyi","Halfordia kendack"
"52","Aplonis striata striata","Ficus prolixa"
"53","Coracina caledonica","Ficus prolixa"
"54","Drepanoptila holosericea","Ficus prolixa"
"55","Philemon diemenensis","Ficus prolixa"
"57","Ducula goliath","Ficus racemigera"
"60","Ducula goliath","Freycinetia sulcata"
"61","Drepanoptila holosericea","Garcinia neglecta"
"62","Ducula goliath","Garcinia puat"
"63","Ducula goliath","Gardenia oudiepe"
"64","Ducula goliath","Guettardella rhamnoides"
"65","Ducula goliath","Guettarda wagapensis"
"66","Ptilinopus greyi","Mimusops elengi"
"67","Ptilinopus greyi","Planchonella cinerea"
"68","Ducula goliath","Hernandia cordigera"
"70","Ducula goliath","Ilex sebertii"
"73","Coracina analis","Joinvillea plicata"
"74","Ducula goliath","Kermadecia rotundifolia"
"75","Ducula goliath","Lantana camara"
"76","Zosterops xanthochroa","Lantana camara"
"77","Ducula goliath","Meiogyne lecardii"
"78","Eunymphicus cornutus","Melia azedarach"
"79","Zosterops xanthochroa","Lepidocupania arcuata"
"80","Zosterops xanthochroa","Ixora margaretiae"
"82","Ducula goliath","Montrouziera cauliflora"
"84","Ducula goliath","Nephelium sinensis"
"87","Ducula goliath","Ochrosia silvatica"
"88","Aplonis striata striata","Olea paniculata"
"89","Ducula goliath","Oncotheca humboldtiana"
"94","Aplonis striata striata","Oxera neriifolia"
"95","Ducula goliath","Oxera palmatinervia"
"96","Ducula goliath","Syzygium neolaurifolium"
"97","Ducula goliath","Planchonella amieuana"
"98","Zosterops xanthochroa","Cupaniopsis apiocarpa"
"99","Zosterops xanthochroa","Cupaniopsis trigonocarpa"
"100","Ducula goliath","Planchonella endlicheri"
"102","Ducula goliath","Planchonella thiensis"
"103","Ducula goliath","Podocarpus sylvestris"
"104","Zosterops xanthochroa","Didymocheton bijugum"
"105","Zosterops xanthochroa","Ficus obliqua"
"106","Zosterops xanthochroa","Halfordia kendack"
"107","Ducula goliath","Psidium sinensis"
"108","Ducula goliath","Pycnandra comptonii"
"109","Drepanoptila holosericea","Santalum austrocaledonicum"
"110","Ducula goliath","Sarcomelicope leiocarpa"
"111","Zosterops xanthochroa","Ixora collina"
"112","Zosterops xanthochroa","Jasminum didymum"
"113","Zosterops xanthochroa","Mimusops elengi"
"115","Ducula goliath","Plerandra gabriellae"
"116","Ducula goliath","Semecarpus neocaledonica"
"119","Ducula goliath","Sloanea lepisda"
"120","Aplonis striata striata","Solanum lycopersicum"
"121","Ducula goliath","Solanum mauritianum"
"122","Columba vitiensis hypoenochroa","Solanum mauritianum"
"123","Aplonis striata striata","Solanum seaforthianum"
"124","Columba vitiensis hypoenochroa","Solanum styraciflorum"
"125","Columba vitiensis hypoenochroa","Solanum torvum"
"127","Ducula goliath","Syzygium cumini"
"128","Ducula goliath","Syzygium macranthum"
"129","Zosterops xanthochroa","Planchonella cinerea"
"130","Ducula goliath","Syzygium jambos"
"131","Ducula goliath","Tapeinosperma acutangulum"
"132","Drepanoptila holosericea","Polyscias crenata"
"133","Ptilinopus greyi","Vitex collina"
"134","Ducula goliath","Xanthomyrtus kanalaensis"
"135","Ducula goliath","Xylopia pancheri"
"140","Zosterops xanthochroa","Premna serratifolia"
"141","Zosterops xanthochroa","Plerandra elegantissima"
"142","Zosterops xanthochroa","Syzygium pendulinum"
"164","Zosterops xanthochroa","Alectryon carinatum"
"167","Coracina caledonica","Diospyros calciphila"
"168","Columba vitiensis hypoenochroa","Drypetes deplanchei"
"169","Drepanoptila holosericea","Drypetes deplanchei"
"172","Zosterops xanthochroa","Melodinus scandens"
