"","Name","Family","Status","Diaspore","Syndrome","Dia_d1_min","Dia_d1_max","Dia_d2_min","Dia_d2_max","Dia_d3_min","Dia_d3_max","Katalupaï","Laguen","Arago","Ateou","Prokomeo","Forêt Plate P17","Forêt Plate P26","Forêt Plate P09","Forêt Plate P12","Calcaires de Koumac","Wekori","Col d'Amoss","Grand Lac","Gohapin","Djeve","Bouirou","Tiwae","Tiebaghi","Paoua","Kouaoua","Aoupinié"
"1","Acacia spirorbis","Fabaceae","native","seed","endozoochory",5,NA,2.5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"2","Acridocarpus austrocaledonicus","Malpighiaceae","endemic","fruit","anemochory",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3","Acronychia laevis","Rutaceae","native","fruit","endozoochory",7,12,NA,NA,NA,NA,0,0,0,0,0,26,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4","Acropogon aoupiniensis","Malvaceae","endemic","seed","endozoochory",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
"5","Acropogon macrocarpus","Malvaceae","endemic","seed","endozoochory",28,20,NA,NA,NA,NA,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acropogon merytifolius","Malvaceae","endemic","seed","endozoochory",NA,NA,NA,NA,NA,NA,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Acropogon sageniifolius","Malvaceae","endemic","seed","barochory",NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Acropogon schistophilus","Malvaceae","endemic","seed","barochory/endozoochory",45.1,NA,12.5,NA,NA,NA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Acropogon tireliae","Malvaceae","endemic","seed","barochory",NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Agathis lanceolata","Araucariaceae","endemic","seed","anemochory/endozoochory",12,15,7,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"11","Agathis moorei","Araucariaceae","endemic","seed","anemochory",20,22,8,NA,NA,NA,0,0,0,0,0,1,5,26,16,0,0,0,0,0,0,0,0,0,0,0,0
"12","Aglaia elaeagnoidea","Meliaceae","native","fruit","endozoochory",15,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0
"13","Aidia congesta","Rubiaceae","endemic","fruit","endozoochory",10,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Alangium vitiense","Cornaceae","native","fruit","endozoochory",17,22,8,11,NA,NA,2,0,0,6,0,0,0,0,2,0,44,1,3,6,2,3,0,0,0,0,0
"15","Alectryon carinatum","Sapindaceae","endemic","seed","endozoochory",3,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
