Ordre,Family,Scientific name,Common name,Origin,Status,Fruits,Seeds,Nectar,Insects,Reptiles,Body_size (mm),Beak_length_culmen (mm),Beak_length_nares (mm),Beak_width (mm),Beak_depth (mm),Tarsus_length (mm),Wing_length (mm),Kipps_distance (mm),Secondary1 (mm),Hand_wing_index (mm),Tail_length (mm),Mass (g),Comment
Passeriformes,Sturnidae,Acridotheres tristis,Common myna (Merle des Moluques),Introduced,LC,1,,,1,,250,26.8,16.0,6.4,8.0,38.6,139.8,32.8,106.3,23.6,84.8,116.4,
Passeriformes,Sturnidae,Aplonis striata striata,Striated starling (Stourne calédonien),Endemic species,LC,1,,,1,,180,19.5,10.9,5.3,6.7,23.2,100.0,24.4,74.0,24.8,70.4,54.2,
Columbiformes,Columbidae,Caloenas canacorum,Kanaka pigeon,Native,EX,,,,,,,38.4,20.5,6.8,9.6,54.6,323.8,106.9,218.5,41.0,123.5,672.3,Inferred from Caloenas nicobarica (~25% largeur)
Columbiformes,Columbidae,Chalcophaps longirostris sandwichensis,Pacific emerald dove (Tourterelle verte),Native,LC,1,1,,,,260,21.0,11.1,3.0,4.1,25.9,144.5,42.7,101.1,29.7,85.1,136.5,
Psittaciformes,Psittacidae,Charmosyna diadema,New Caledonian lorikeet (Lori à diadème),Endemic species,CR,1,1,,,,190,11.3,9.0,6.1,9.8,10.8,93.0,38.0,55.0,40.9,84.5,37.0,
Columbiformes,Columbidae,Columba vitiensis hypoenochroa,Metalic pigeon (Collier blanc),Endemic subspecies,LC,1,,,,,370,27.4,14.0,5.7,6.4,28.8,216.4,70.3,147.0,32.3,138.0,353.0,
Passeriformes,Campephagidae,Coracina analis,New Caledonian cuckooshrike (Echenilleur de montagne),Endemic species,NT,1,1,,1,,280,29.1,15.3,8.6,11.3,30.8,140.8,35.0,105.8,24.8,119.9,82.4,
Passeriformes,Campephagidae,Coracina caledonica,South Melanesian Cuckooshrike (Echenilleur calédonien),Endemic subspecies,LC,1,,,1,1,350,38.5,22.4,14.0,14.2,31.7,185.3,48.6,136.7,26.2,146.7,140.0,
Passeriformes,Corvidae,Corvus moneduloides,New Caledonian crow (Corbeau calédonien),Endemic species,LC,1,,,1,1,410,43.5,28.4,11.9,17.1,47.1,238.1,54.7,183.4,23.0,164.6,277.4,
Psittaciformes,Psittacidae,Cyanoramphus saisseti,New Caledonian Parakeet (Péruche à front rouge),Endemic species,LC,1,1,,,,260,16.5,13.7,10.2,17.1,17.0,121.8,45.5,72.8,38.4,163.7,90.2,
Columbiformes,Columbidae,Drepanoptila holosericea,Cloven-feathered dove (Pigeon vert),Endemic genus,NT,1,,,,,280,17.8,8.0,3.7,4.4,26.7,148.0,29.8,115.8,20.5,79.2,215.0,
Columbiformes,Columbidae,Ducula goliath,New Caledonian imperial-pigeon (Notou),Endemic species,NT,1,,,,,510,40.8,19.8,7.4,7.4,39.4,293.2,83.7,209.6,28.5,197.0,600.0,
Columbiformes,Columbidae,Ducula pacifica,Pacific imprerial-pigeon (Notou des îles),Native,LC,1,,,,,390,27.9,16.3,7.4,7.6,36.7,244.4,79.8,166.5,32.5,160.2,394.2,
Passeriformes,Estrildidae,Erythrura psittacea,Red-throated parrotfinch (Cardinal),Endemic species,LC,1,1,,1,,120,11.7,8.0,5.5,7.1,17.5,56.2,9.7,46.3,17.3,51.8,11.5,
Psittaciformes,Psittacidae,Eunymphicus cornutus,Horned parakeet (Perruche de la châine),Endemic species,VU,1,1,,,,320,22.6,18.2,13.0,22.2,19.0,154.4,61.0,91.2,40.0,166.2,130.0,
Columbiformes,Columbidae,Gallicolumba longitarsus,,Endemic species,EX,1,1,,1,,,25.7,11.0,5.3,5.6,48.8,181.0,46.8,134.2,29.3,122.7,312.4,Inferred from Gallicolumba tristigmata (~14% largeur)
Columbiformes,Columbidae,Gallicolumba stairi,Tongan ground-dove,Native,LEX,1,1,,1,,,22.1,12.8,3.4,4.4,31.3,147.5,46.0,101.5,31.2,89.0,171.0,
Columbiformes,Columbidae,Geopelia striata,Zebra dove (Géopélie zébrée),Introduced,LC,,1,,,,210,17.2,7.6,2.5,2.9,15.5,97.0,27.1,70.6,27.7,95.0,56.6,
Passeriformes,Meliphagidae,Glycifohia undulata,Barred honeyeater (Grive perlée),Endemic species,LC,,,1,1,,190,29.3,18.6,3.4,3.7,25.3,86.8,16.8,67.5,19.9,79.7,16.0,
Passeriformes,Campephagidae,Lalage leucopyga montrosieri,Long-tailed triller (Bergeronnette),Endemic subspecies,LC,,,,1,1,170,18.4,10.0,5.4,4.5,24.2,84.6,22.1,62.6,26.1,77.6,24.3,
Passeriformes,Meliphagidae,Lichmera incana incana,Grey-eared honeyeater (Suceur),Endemic subspecies,LC,,,1,1,,160,23.2,11.0,3.1,3.7,20.5,73.0,12.6,59.2,17.6,62.6,13.1,
Galliformes,Megapodiidae,Megapodius molistructor,,Endemic species,EX,,,,,,,35.9,18.0,9.1,11.0,85.2,282.5,71.8,213.7,33.7,102.0,863.4,Inferred from Megapodius freycinet (~34% largeur)
Passeriformes,Meliphagidae,Philemon diemenensis,New Caledonian friabird (Polochion moine),Endemic species,LC,1,,1,1,,280,35.7,19.3,5.0,6.7,33.9,125.8,25.2,98.4,20.3,114.0,65.9,
