Bird_name,Plant_name,Plant_name_in_reference,Plant_genus,Plant_family,Cons_ID_by,Plant_ID_by,ID_Florical,Voucher,Reference,Ref_type,Link_to_ref
Ducula goliath,Alphitonia neocaledonica,,Alphitonia,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Ducula goliath,Alyxia leucogyne,,Alyxia,,,,,,Létocart (1998),Technical report,
Zosterops xanthochroa,Lepidocupania arcuata,Arytera arcuata,Lepidocupania,,,,36846,,Boissenin et al. (2006),Technical report,
Ptilinopus greyi,Neoarytera chartacea,Arytera chartacea,Neoarytera,,,,36863,,Boissenin et al. (2006),Technical report,
Ducula goliath,Balanops vieillardii,,Balanops,,,,,,Colombo (2008),Academic report,
Coracina analis,Balanops vieillardii,,Balanops,,,,,,Létocart (1998),Technical report,
Coracina analis,Balanops vieillardii,,Balanops,,,,,,Mériot (pers. commun.),Personal communication,
Ducula goliath,Basselinia gracilis,,Basselinia,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Broussonetia papyrifera,,Broussonetia,,,,,,Condamin (1978),Technical report,
Ducula goliath,Burretiokentia vieillardii,,Burretiokentia,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Calophyllum caledonicum,,Calophyllum,,,,,,Ardimani (pers. commun. ),Personal communication,
Ducula goliath,Canarium oleiferum,,Canarium,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Canarium oleiferum,,Canarium,,,,,,Létocart (1998),Technical report,
Aplonis striata striata,Capsicum frutescens,,Capsicum,,,,,,Hannecart & Létocart (1983),Book,
Zosterops xanthochroa,Ixora margaretiae,Captaincookia margaretae,Ixora,,,,21848,,Boissenin et al. (2006),Technical report,
Aplonis striata striata,Carica papaya,,Carica,,,,,,Hannecart & Letocart (1983),Book,
Ducula goliath,Syzygium balansae,Caryophyllus balansae,Syzygium,,,,20224,,Condamin (1978),Technical report,
Ducula goliath,Syzygium multipetalum,Caryophyllus multipetalus,Syzygium,,,,20232,,Condamin (1978),Technical report,
Ducula goliath,Chambeyronia macrocarpa,,Chambeyronia,,,J. Munzinger,,4-03-2013B,Munzinger (pers. commun.),Personal communication,
Ducula goliath,Chambeyronia macrocarpa,,Chambeyronia,,,J. Munzinger,,4-03-2013B,Munzinger (pers. commun.),Personal communication,
Ducula goliath,Chionanthus brachystachys,,Chionanthus,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
Ducula goliath,Citronella macrocarpa,,Citronella,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Ducula goliath,Cleistanthus stipitatus,,Cleistanthus,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Ducula goliath,Coffea canephora,,Coffea,,,,,,Condamin (1978),Technical report,
Ducula goliath,Neuburgia novocaledonica,Couthovia novocaledonica,Neuburgia,,,,2351,,Condamin (1978),Technical report,
Ducula goliath,Cryptocarya macrocarpa,,Cryptocarya,,,,,,Condamin (1978),Technical report,
Ducula goliath,Cryptocarya macrocarpa,,Cryptocarya,,,,,,Condamin (1978),Technical report,
Ducula goliath,Cryptocarya transversa,,Cryptocarya,,,,,,Létocart (1998),Technical report,
Zosterops xanthochroa,Cupaniopsis apiocarpa,,Cupaniopsis,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Cupaniopsis trigonocarpa,,Cupaniopsis,,,,,,Boissenin et al. (2006),Technical report,
Zosterops xanthochroa,Didymocheton bijugum,Didymocheton bijugus,Didymocheton,,,,,,Boissenin et al. (2006),Technical report,
Ducula goliath,Didymocheton macranthum,,Didymocheton,,,,,,Meandu Poveu (pers. commun.),Personal communication,
Ptilinopus greyi,Diospyros fasciculosa,,Diospyros,,,,,,Boissenin et al. (2006),Technical report,
Drepanoptila holosericea,Diospyros fasciculosa,,Diospyros,,,,,,Mackee (pers. commun.),Personal communication,
Ptilinopus greyi,Diospyros fasciculosa,,Diospyros,,,,,,Tassin et al. (2010),Published paper,https://bioone.org/journals/pacific-science/volume-64/issue-4/64.4.527/Can-Ptilinopus-greyii-Columbidae-Disperse-Seeds-in-New-Caledonias-Dry/10.2984/64.4.527.full
Drepanoptila holosericea,Diospyros fasciculosa,,Diospyros,,,,,,White (1993),Flora,
Ducula goliath,Diospyros macrocarpa,,Diospyros,,,,,,Barré et al. (2003),Published paper,https://www.birdsnz.org.nz/publications/contribution-to-the-knowledge-of-the-new-caledonian-imperial-pigeon-ducula-goliath-gray-1859-with-emphasis-on-sexual-dimorphism/
