Family,Name_in_data_base,Name_in_reference,Recorder,Source,Statut,Fleshy_fruit,Dehicent,Fleshy_appendage,Attractive_color,Flight_appendage,Fruit_type,Diaspore,Syndrome,Fruit_d1_min,Fruit_d1_max,Fruit_d2_min,Fruit_d2_max,Fruit_d3_min,Fruit_d3_max,Fruit_dim_unit,Seed_d1_min,Seed_d1_max,Seed_d2_min,Seed_d2_max,Seed_d3_min,Seed_d3_max,Seed_dim_unit,Seed_per_fruit_min,Seed_per_fruit_max
Fabaceae,Acacia spirorbis,,Thomas Ibanez,"Flore de la Nouvelle-Calédonie (Prance, 1983)",native,,1,1,,,pod,seed,endozoochory,5,,0.5,0.7,,,cm,5,,2.5,,,,mm,,
Malpighiaceae,Acridocarpus austrocaledonicus,,Jérôme Munzinger,Baillon 1874,endemic,,,,,1,samara,fruit,anemochory,,,,,,,,,,,,,,,,
Rutaceae,Acronychia laevis,,Thomas Ibanez,Flora of Australia,native,1,,,,,fleshy fruit,fruit,endozoochory,7,12,,,,,mm,4,4.5,,,,,mm,,
Malvaceae,Acropogon aoupiniensis,,Thomas Ibanez,Morat (1988),endemic,,1,1,1,,follicle,seed,endozoochory,3,4,,,,,cm,,,,,,,,1,6
Malvaceae,Acropogon macrocarpus,,Thomas Ibanez,Morat and Chalopin (2003),endemic,,1,1,,,follicle,seed,endozoochory,7,8,6,7,,,cm,2.8,2,,,,,cm,,10
Malvaceae,Acropogon merytifolius,,Sébastien Goizé,Morat and Chalopin (2003)/Kaoh_2017,endemic,,1,,,,follicle,seed,endozoochory,3,4,,,,,cm,,,,,,,,1,6
Malvaceae,Acropogon sageniifolius,,Thomas Ibanez,Schlechter (1906),endemic,,1,,,,follicle,seed,barochory,,,,,,,,,,,,,,,,
Malvaceae,Acropogon schistophilus,,Sébastien Goizé,Morat and Chalopin (2003)/Kaoh_2017/Virot,endemic,,1,,,,follicle,seed,barochory/endozoochory,3,4,2.5,,,,cm,45.1,,12.5,,,,mm,3,4
Malvaceae,Acropogon tireliae,,Sébastien Goizé,Morat and Chalopin (2007)/Endémia,endemic,,1,,,,follicle,seed,barochory,,,,,,,,,,,,,,,,
Araucariaceae,Agathis lanceolata,,Thomas Ibanez,"Flore de la Nouvelle-Calédonie (Laubenfels, 1972)",endemic,,,,,1,cone,seed,anemochory/endozoochory,,,,,,,,12,15,7,,,,mm,,
Araucariaceae,Agathis moorei,,Thomas Ibanez,"Flore de la Nouvelle-Calédonie (Laubenfels, 1972)",endemic,,,,,1,cone,seed,anemochory,,,,,,,,20,22,8,,,,mm,,
Meliaceae,Aglaia elaeagnoidea,,Thomas Ibanez,"Flore de la Nouvelle-Calédonie (Mabberley, 1988)",native,1,,,,,berry,fruit,endozoochory,1.5,,,,,,cm,1,,,,,,cm,2,
Rubiaceae,Aidia congesta,,Sébastien Goizé,herbier de Nouméa,endemic,1,,,,,fleshy fruit,fruit,endozoochory,10,,,,,,mm,,,,,,,,,
Cornaceae,Alangium vitiense,,Thomas Ibanez,de Wilde and Duyfjes (2017),native,1,,,,,drupe,fruit,endozoochory,17,22,8,11,,,mm,,,,,,,,,
Sapindaceae,Alectryon carinatum,,Thomas Ibanez,Munzinger et al. (2020),endemic,,1,1,,,capsule,seed,endozoochory,5.6,13,5.7,10.6,,,mm,3,,,,,,mm,,
Euphorbiaceae,Aleurites moluccana,,Thomas Ibanez,"Flore de la Nouvelle-Calédonie (McPherson and Tirel, 1987)",native,1,,,,,drupe,fruit,endozoochory,3.5,4,3.5,5.2,3.5,,cm,,,,,,,,,
Rhamnaceae,Alphitonia neocaledonica,,Sébastien Goizé,Virot/Flore_NC/Carpenter 2003/herbier de Nouméa,endemic,,1,1,1,,capsule,seed,endozoochory,6,12.9,6.5,12.1,,,mm,5,10,11,15,,,mm,,
Apocynaceae,Alstonia balansae,,Sébastien Goizé,"Flore de la Nouvelle-Caledonie (Boiteau, 1981)/Sébastien Goizé mesure site herbier de Nouméa",endemic,,1,,,1,follicle,seed,anemochory,280,2,,,,,mm,3,10,,,,,mm,,
Apocynaceae,Alstonia costata,Alstonia plumosa,Thomas Ibanez,"Flore de la Nouvelle-Caledonie (Boiteau, 1981)",native,,1,,,1,follicle,seed,anemochory,80,150,3,,,,mm,3,,1.5,,,,mm,,
Apocynaceae,Alstonia lanceolata,,Sébastien Goizé,"Flore de la Nouvelle-Caledonie (Boiteau, 1981)/Bluméa",endemic,,1,,,1,follicle,seed,anemochory,,300,2,3,,,mm,3,,4,,2,,mm,,
Apocynaceae,Alstonia sphaerocapitata,,Thomas Ibanez,"Flore de la Nouvelle-Caledonie (Boiteau, 1981)",endemic,,1,,,1,follicle,seed,anemochory,,20,,,,,mm,7,,2,,,,mm,,
Amborellaceae,Amborella trichopoda,,Thomas Ibanez,"Flore de la Nouvelle-Calédonie (Jérémie, 1982)",endemic,1,,,,,drupe,fruit,endozoochory,8,10,4,5,,,mm,8,8,,,,,mm,,1
Meliaceae,Anthocarapa nitidula,,Thomas Ibanez,"Flore de la Nouvelle-Calédonie (Mabberley, 1988)",native,,1,,1,,capsule,seed,endozoochory,5,,,,,,cm,3,,1.5,,,,cm,1,3
