locality,longitude,latitude,year_obs,nom_taxon,family,genus,dbh
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,17.2
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,44.6
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,17.7
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,28.6
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.1
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,17.2
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.8
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,18.8
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.4
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,21.8
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,18.3
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.2
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,23.2
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.5
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,12.1
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,15.6
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,12.9
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,16.2
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.1
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,18.1
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.4
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.1
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,10.8
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,10.5
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,19.4
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,15.9
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,20.8
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,10.8
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,14
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,17.2
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.5
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,15.1
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,18.6
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.9
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.3
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.5
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.9
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.5
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.7
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,12.4
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.5
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,14
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,13.2
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,10.8
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,11.1
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,15.6
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,16.7
Katalupaï,165.008391,-20.85251455,2017,Acropogon macrocarpus,Malvaceae,Acropogon,10.2
Laguen,164.780212,-20.62504,2013,Acropogon macrocarpus,Malvaceae,Acropogon,10.5
Laguen,164.780212,-20.62504,2013,Acropogon macrocarpus,Malvaceae,Acropogon,16.6
Laguen,164.780212,-20.62504,2013,Acropogon macrocarpus,Malvaceae,Acropogon,17.5
Laguen,164.780212,-20.62504,2013,Acropogon macrocarpus,Malvaceae,Acropogon,13.1
Laguen,164.780212,-20.62504,2013,Acropogon macrocarpus,Malvaceae,Acropogon,13.1
Laguen,164.780212,-20.62504,2013,Acropogon macrocarpus,Malvaceae,Acropogon,15.3
Laguen,164.780212,-20.62504,2013,Acropogon macrocarpus,Malvaceae,Acropogon,11.5
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,14.5
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10.7
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,14.2
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10.2
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,14.5
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10.7
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,11.8
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,14.5
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10.5
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,11.8
Arago,165.4765625,-21.24147606,2015,Acropogon merytifolius,Malvaceae,Acropogon,10.5
Ateou,164.9203294,-20.95063655,2013,Acropogon sageniifolius,Malvaceae,Acropogon,11.5
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,19.1
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,15.3
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,30.2
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,20.1
Laguen,164.780212,-20.62504,2013,Acropogon schistophilus,Malvaceae,Acropogon,13.1
Prokomeo,165.8697253,-21.49363895,2019,Actinokentia,Arecaceae,Actinokentia,10
Prokomeo,165.8697253,-21.49363895,2019,Actinokentia,Arecaceae,Actinokentia,10.5
Forêt Plate P17,165.107077,-21.122677,2015,Agathis moorei,Araucariaceae,Agathis,58.3
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,73.2
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,15
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,13.4
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,24.2
Forêt Plate P26,165.111632,-21.133673,2015,Agathis moorei,Araucariaceae,Agathis,11.8
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,22
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,44.6
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,29.9
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,46.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,13.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,69.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,12.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,56.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,45.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,19.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,21
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,43.9
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,44.2
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,38.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,29.6
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,35.3
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,55.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,32.5
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,10.2
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,30.6
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,47.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,91.7
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,22
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,35.3
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,35.3
Forêt Plate P09,165.122272,-21.146053,2004,Agathis moorei,Araucariaceae,Agathis,53.5
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,10
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,76.4
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,80.2
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,61.1
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,42.3
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,16.2
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,23.2
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,12.1
Forêt Plate P12,165.120361,-21.148142,2013,Agathis moorei,Araucariaceae,Agathis,65.6
